Neighborhood;Total;Native;Asian;Black;Pacific;White;Other;Two or More Races;Hispanic
Vermont-Slauson/Harvard Park/Chesterfield Square;37770;280;427;9707;25;592;16106;5350;26869
Vermont Square;65596;1310;1004;13944;38;1305;27291;7065;47968
Vermont Vista;12319;54;145;2616;14;166;3258;2736;9302
View Heights;4074;23;244;2628;0;523;303;201;556
Virgil Village;1617;69;263;48;0;323;478;98;970
Watts;40263;1126;509;8512;21;393;16327;5920;30407
West Adams;23028;52;660;5712;34;1762;5199;3747;14524
West Adams Terrace/Kinney Heights/Berkely Square;9884;29;787;3447;0;709;1988;1138;4618
West Hills;32267;241;5076;1472;16;19529;1135;3629;3922
West LA;47950;73;10779;1564;30;25819;1907;4728;6772
West Toluca Lake;4235;0;418;235;29;2194;493;712;1346
Westchester;40956;444;6223;4041;76;20031;1735;5814;7595
Western Heights/Sugar Hill/West Adams Heights;3063;32;601;584;0;291;972;177;1482
Western Wilton;4624;0;2420;272;0;257;677;478;1453
Westlake & Historic Filipinotown;117069;2293;23784;8348;109;8010;46616;9457;75066
Westside Village;9853;22;3120;326;56;4241;713;927;1400
Westwood;51071;160;13186;2325;137;25463;2597;4511;6567
Wilmington;52698;401;1492;1558;235;1748;12121;6159;47404
Wilshire Center;61408;892;21117;3786;162;5926;19682;4796;29113
Wilshire Vista;2227;18;82;243;0;791;416;465;589
Wilshire Vista Heights;2667;0;205;832;0;981;213;331;433
Windsor Square;2677;0;955;104;0;1067;106;379;403
Winnetka;79461;664;12583;3076;38;25452;21876;8603;34395
Woodland Hills;79451;433;9399;5410;81;46310;5887;7554;13897
